Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
25-29,Man,Master's,Student,,,,,5-10 years,3-4 years,desktop,,Never,Local development environments,Yes,,,Yes,,,Yes,,Yes,,,,Yes
50-54,Man,Master's,Other,Other,"1000-9,999 employees",I do not know,"30,000-39,999",1-3 years,I do not use machine learning methods,laptop,,Never,,Yes,,Yes,,,,,,,,,,
25-29,Man,college study without degree,Program/Project Manager,Non-profit/Service,0-49 employees,recently started,"80,000-89,999",< 1 years,Under 1 year,cloud computing platform,PostgreSQL ,2-5 times,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,
25-29,Man,Master's,Research Scientist,Accounting/Finance,0-49 employees,well established,"150,000-199,999",3-5 years,3-4 years,cloud computing platform,,Never,Local development environments,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,
25-29,Man,Bachelor's,Data Analyst,Government/Public Service,50-249 employees,do not use,"15,000-19,999",1-3 years,Under 1 year,laptop,,Once,Basic statistical software,Yes,,Yes,,Yes,,Yes,,Yes,,,,
60-69,Man,Master's,Currently not employed,,,,,1-3 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,
30-34,Woman,Doctoral,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",well established,"125,000-149,999",10-20 years,1-2 years,cloud computing platform,,Never,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
55-59,Woman,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",recently started,"200,000-249,999",20+ years,5-10 years,cloud computing platform,,2-5 times,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
40-44,Man,Doctoral,Research Scientist,Military/Security/Defense,"10,000 or more employees",exploring,"125,000-149,999",20+ years,10-20 years,laptop,,Never,Advanced statistical software,,Yes,,,,,,,,,,,
55-59,Man,Bachelor's,Developer Relations/Advocacy,Computers/Technology,0-49 employees,exploring,"100,000-124,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
22-24,Man,Master's,Data Scientist,Online Service/Internet-based Services,250-999 employees,well established,"150,000-199,999",5-10 years,4-5 years,cloud computing platform,,Once,Cloud-based data software & APIs,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,
25-29,Woman,Master's,Data Analyst,Online Service/Internet-based Services,250-999 employees,for insights only,"70,000-79,999",1-3 years,Under 1 year,cloud computing platform,Google Cloud BigQuery ,Never,Business intelligence software,Yes,Yes,Yes,,,,,,,,,,
55-59,Man,college study without degree,Data Scientist,Academics/Education,0-49 employees,exploring,"125,000-149,999",20+ years,1-2 years,laptop,IBM Db2 ,Never,Basic statistical software,Yes,,Yes,Yes,,,,,Yes,Yes,,,
45-49,Man,Master's,Data Scientist,Other,"1000-9,999 employees",recently started,"150,000-199,999",10-20 years,3-4 years,cloud computing platform,,Never,Business intelligence software,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
40-44,Man,Doctoral,Research Scientist,Government/Public Service,50-249 employees,well established,"90,000-99,999",10-20 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
35-39,Man,Doctoral,Software Engineer,Military/Security/Defense,"1000-9,999 employees",recently started,"100,000-124,999",10-20 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,,Yes,Yes,,Yes,,,,Yes
25-29,Woman,Bachelor's,Currently not employed,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,,,,,,,,,,,,
25-29,Man,Master's,Business Analyst,Retail/Sales,"1000-9,999 employees",recently started,"20,000-24,999",< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
25-29,Man,Master's,Program/Project Manager,Computers/Technology,"10,000 or more employees",well established,"150,000-199,999",5-10 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
30-34,Man,Bachelor's,Data Analyst,,,,,3-5 years,,laptop,,Never,,Yes,,Yes,,,,,,,,,,
30-34,Man,Doctoral,Data Scientist,Non-profit/Service,50-249 employees,well established,"100,000-124,999",10-20 years,5-10 years,desktop,MySQL ,Once,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes
35-39,Prefer not to say,Master's,Student,,,,,5-10 years,5-10 years,cloud computing platform,,2-5 times,Local development environments,Yes,,,Yes,Yes,,,,,,,,Yes
30-34,Man,Master's,Research Scientist,,,,,5-10 years,2-3 years,deep learning workstation,,Never,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
25-29,Man,Master's,Machine Learning Engineer,Other,0-49 employees,well established,"150,000-199,999",3-5 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,,,Yes,Yes,Yes,,,,
22-24,Man,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,,Yes,,,,,,,,,,
60-69,Man,Doctoral,Research Scientist,Academics/Education,"1000-9,999 employees",I do not know,"70,000-79,999",20+ years,10-20 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,,Yes,,,Yes
25-29,Man,Master's,Data Engineer,Medical/Pharmaceutical,"10,000 or more employees",do not use,"100,000-124,999",3-5 years,3-4 years,cloud computing platform,Amazon Redshift ,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,,,,
55-59,Man,Bachelor's,Program/Project Manager,Computers/Technology,"10,000 or more employees",well established,"125,000-149,999",20+ years,2-3 years,laptop,Oracle Database ,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,,,Yes,,
50-54,Woman,Bachelor's,Business Analyst,Shipping/Transportation,"10,000 or more employees",I do not know,"70,000-79,999",I have never written code,,,,,Business intelligence software,,,,,,,,,,,,,
25-29,Woman,Bachelor's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,,,,Yes,Yes,,Yes,,Yes,
18-21,Man,Bachelor's,Student,,,,,1-3 years,1-2 years,desktop,,6-25 times,,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes
45-49,Man,Master's,Other,Other,50-249 employees,recently started,"125,000-149,999",10-20 years,10-20 years,Other,,Never,Advanced statistical software,Yes,Yes,Yes,,,,,,Yes,,,Yes,
18-21,Woman,prefer not to answer,Student,,,,,5-10 years,Under 1 year,laptop,,Once,Local development environments,Yes,Yes,Yes,Yes,,,,,,Yes,,,
55-59,Man,Master's,Program/Project Manager,Medical/Pharmaceutical,"10,000 or more employees",recently started,"125,000-149,999",20+ years,1-2 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,,,
45-49,Woman,Master's,Research Scientist,Non-profit/Service,250-999 employees,do not use,"70,000-79,999",< 1 years,I do not use machine learning methods,laptop,Microsoft SQL Server ,Never,Business intelligence software,,,,,,,,,,,,,
35-39,Man,Master's,Data Engineer,Computers/Technology,"1000-9,999 employees",exploring,"125,000-149,999",10-20 years,1-2 years,laptop,Amazon DynamoDB ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,
40-44,Man,Bachelor's,Machine Learning Engineer,Military/Security/Defense,"10,000 or more employees",well established,"125,000-149,999",10-20 years,2-3 years,laptop,,More than 25 times,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes
30-34,Man,Doctoral,Machine Learning Engineer,Accounting/Finance,250-999 employees,recently started,"100,000-124,999",5-10 years,2-3 years,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,
40-44,Man,Master's,Program/Project Manager,Manufacturing/Fabrication,"10,000 or more employees",for insights only,"125,000-149,999",< 1 years,Under 1 year,laptop,,Never,Business intelligence software,,,,,,,,,,,,,
50-54,Man,college study without degree,Data Engineer,Online Business/Internet-based Sales,0-49 employees,exploring,"50,000-59,999",10-20 years,Under 1 year,desktop,,Never,,Yes,,Yes,,,,,,,,,,
30-34,Man,Master's,Data Scientist,Energy/Mining,"1000-9,999 employees",well established,"150,000-199,999",3-5 years,2-3 years,cloud computing platform,Microsoft Azure SQL Database ,Never,Business intelligence software,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,
22-24,Man,Master's,Student,,,,,3-5 years,1-2 years,cloud computing platform,,More than 25 times,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
30-34,Man,Bachelor's,Data Analyst,Insurance/Risk Assessment,250-999 employees,exploring,,10-20 years,I do not use machine learning methods,None,,Never,,,,Yes,,,,,,,,,,
35-39,Man,Master's,Data Engineer,Academics/Education,"1000-9,999 employees",recently started,"90,000-99,999",3-5 years,Under 1 year,laptop,Oracle Database ,Once,Business intelligence software,Yes,,Yes,,,,Yes,,Yes,,,,
50-54,Man,Master's,Other,Academics/Education,50-249 employees,exploring,"80,000-89,999",1-3 years,1-2 years,laptop,SQLite ,2-5 times,Basic statistical software,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,,
22-24,Man,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,
40-44,Prefer not to say,Doctoral,Machine Learning Engineer,Computers/Technology,250-999 employees,well established,"250,000-299,999",20+ years,10-20 years,desktop,PostgreSQL ,Once,Local development environments,,,,,,Yes,,,,,,Yes,Yes
40-44,Man,Bachelor's,Data Engineer,Accounting/Finance,"1000-9,999 employees",for insights only,"150,000-199,999",10-20 years,1-2 years,cloud computing platform,Microsoft Azure Cosmos DB ,Never,Cloud-based data software & APIs,Yes,,Yes,,,,Yes,,Yes,Yes,Yes,,
40-44,Prefer not to say,Master's,Student,,,,,5-10 years,4-5 years,laptop,,6-25 times,,Yes,Yes,Yes,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,3-5 years,I do not use machine learning methods,laptop,,Never,,Yes,,Yes,,,,,,,,,,
40-44,Man,Doctoral,Research Scientist,Medical/Pharmaceutical,0-49 employees,exploring,"150,000-199,999",5-10 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,,
35-39,Man,Bachelor's,Data Scientist,Manufacturing/Fabrication,250-999 employees,do not use,"50,000-59,999",5-10 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
70+,Man,Doctoral,Research Scientist,Computers/Technology,0-49 employees,for insights only,0-999,3-5 years,2-3 years,desktop,,2-5 times,Local development environments,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,Yes
30-34,Man,Master's,Program/Project Manager,Computers/Technology,"10,000 or more employees",for insights only,"60,000-69,999",3-5 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,Yes,Yes,,,,,,,,,
35-39,Man,Master's,Program/Project Manager,Computers/Technology,50-249 employees,exploring,"50,000-59,999",< 1 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,Yes,Yes,,,,,Yes,Yes,,,
45-49,Woman,Bachelor's,Student,,,,,< 1 years,Under 1 year,laptop,,Once,Basic statistical software,,,Yes,,,,,,Yes,,,,
30-34,Man,Master's,Data Analyst,Computers/Technology,50-249 employees,recently started,"50,000-59,999",1-3 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,,,,,,Yes,,Yes,,,
60-69,Man,Bachelor's,Other,Manufacturing/Fabrication,0-49 employees,I do not know,"60,000-69,999",1-3 years,1-2 years,desktop,,Once,Basic statistical software,Yes,Yes,Yes,,Yes,,,,Yes,,,,Yes
45-49,Man,Doctoral,Data Engineer,Other,0-49 employees,exploring,"100,000-124,999",20+ years,1-2 years,desktop,,2-5 times,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,
22-24,Man,Master's,Data Analyst,Retail/Sales,250-999 employees,exploring,"30,000-39,999",1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,Yes,,,,
30-34,Woman,Master's,Other,Manufacturing/Fabrication,"10,000 or more employees",exploring,"80,000-89,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
45-49,Woman,Bachelor's,Data Analyst,Government/Public Service,"10,000 or more employees",I do not know,"125,000-149,999",20+ years,4-5 years,laptop,Microsoft SQL Server ,Never,Business intelligence software,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
25-29,Man,Bachelor's,Data Analyst,Other,0-49 employees,do not use,"10,000-14,999",< 1 years,I do not use machine learning methods,desktop,,Never,,Yes,,Yes,,,,,,,,,,
40-44,Man,Bachelor's,Currently not employed,,,,,< 1 years,Under 1 year,desktop,,More than 25 times,Basic statistical software,Yes,,,Yes,Yes,Yes,Yes,,,,,,Yes
35-39,Man,Doctoral,Other,Academics/Education,"10,000 or more employees",well established,"100,000-124,999",10-20 years,4-5 years,desktop,PostgreSQL ,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,
25-29,Man,Master's,Research Scientist,Non-profit/Service,0-49 employees,do not use,"60,000-69,999",3-5 years,1-2 years,laptop,,Never,Local development environments,,Yes,,,,,,,,,,,
22-24,Woman,Master's,Student,,,,,5-10 years,2-3 years,laptop,,Never,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
35-39,Woman,Master's,Data Analyst,Government/Public Service,"10,000 or more employees",exploring,"100,000-124,999",10-20 years,Under 1 year,laptop,,Never,Cloud-based data software & APIs,Yes,,,,,,,,Yes,,,,
22-24,Man,Master's,Currently not employed,,,,,1-3 years,2-3 years,laptop,,2-5 times,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,Yes
25-29,Nonbinary,Master's,Currently not employed,,,,,1-3 years,Under 1 year,laptop,,2-5 times,Basic statistical software,Yes,,,Yes,Yes,,Yes,,Yes,Yes,,,
30-34,Man,Doctoral,Data Scientist,Computers/Technology,50-249 employees,for insights only,"250,000-299,999",10-20 years,5-10 years,laptop,,2-5 times,Local development environments,,Yes,,,,,,,Yes,Yes,,,
50-54,Prefer not to say,Bachelor's,Other,Insurance/Risk Assessment,"10,000 or more employees",well established,"100,000-124,999",5-10 years,Under 1 year,laptop,Microsoft Azure SQL Database ,Never,,Yes,,,Yes,,,,,Yes,Yes,,,
35-39,Man,Master's,Other,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
40-44,Man,Doctoral,Software Engineer,Computers/Technology,"10,000 or more employees",well established,,10-20 years,10-20 years,desktop,,Never,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
18-21,Man,Bachelor's,Student,,,,,3-5 years,3-4 years,desktop,,2-5 times,Local development environments,Yes,,,,Yes,Yes,Yes,,,,,,Yes
60-69,Man,Doctoral,Research Scientist,Academics/Education,"1000-9,999 employees",I do not know,"300,000-499,999",20+ years,5-10 years,desktop,,Never,Advanced statistical software,Yes,,,Yes,,,Yes,,Yes,,,Yes,
25-29,Man,Bachelor's,Data Scientist,Computers/Technology,"10,000 or more employees",well established,"150,000-199,999",5-10 years,5-10 years,laptop,Amazon Redshift ,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes
25-29,Man,Master's,Machine Learning Engineer,Academics/Education,0-49 employees,I do not know,0-999,3-5 years,1-2 years,laptop,,Never,Other,Yes,,,Yes,,,,Yes,,,,,Yes
70+,Man,Professional doctorate,Other,Medical/Pharmaceutical,50-249 employees,I do not know,"70,000-79,999",1-3 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,,,,,
25-29,Man,Master's,Data Scientist,Computers/Technology,"1000-9,999 employees",exploring,"90,000-99,999",1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
60-69,Man,Master's,Statistician,Government/Public Service,"10,000 or more employees",do not use,"100,000-124,999",20+ years,I do not use machine learning methods,laptop,Microsoft SQL Server ,Never,Basic statistical software,,,,,,,,,,,,,
30-34,Man,Master's,Software Engineer,Accounting/Finance,0-49 employees,for insights only,"125,000-149,999",10-20 years,5-10 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,
25-29,Prefer not to say,Master's,Data Scientist,Computers/Technology,50-249 employees,exploring,"30,000-39,999",1-3 years,I do not use machine learning methods,cloud computing platform,,Never,,Yes,,,,,,,,,,,,
35-39,Woman,Doctoral,Data Scientist,Broadcasting/Communications,250-999 employees,recently started,"200,000-249,999",10-20 years,4-5 years,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,,,Yes,Yes,,,
30-34,Man,Bachelor's,Business Analyst,Other,50-249 employees,recently started,"80,000-89,999",< 1 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,,Yes,,,,,Yes,Yes,,,
40-44,Man,Doctoral,Data Scientist,Online Service/Internet-based Services,50-249 employees,well established,"125,000-149,999",10-20 years,4-5 years,laptop,,6-25 times,Local development environments,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes
40-44,Man,Master's,Other,Medical/Pharmaceutical,"10,000 or more employees",do not use,"250,000-299,999",1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,,,,,Yes,Yes,,,
60-69,Man,Doctoral,Research Scientist,Academics/Education,0-49 employees,for insights only,"40,000-49,999",20+ years,1-2 years,desktop,Microsoft SQL Server ,Never,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,Yes
18-21,Man,prefer not to answer,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
30-34,Man,Master's,Other,Medical/Pharmaceutical,"10,000 or more employees",I do not know,"70,000-79,999",3-5 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
18-21,Man,college study without degree,Student,,,,,3-5 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,
25-29,Man,Master's,Data Analyst,Shipping/Transportation,"10,000 or more employees",I do not know,"125,000-149,999",3-5 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
22-24,Man,Bachelor's,Other,Government/Public Service,"10,000 or more employees",I do not know,"60,000-69,999",< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
55-59,Man,Bachelor's,Other,Shipping/Transportation,"10,000 or more employees",well established,"50,000-59,999",5-10 years,Under 1 year,laptop,SQLite ,Never,Other,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
45-49,Man,Master's,Program/Project Manager,Military/Security/Defense,"10,000 or more employees",I do not know,"60,000-69,999",1-3 years,I do not use machine learning methods,None,,Never,Basic statistical software,Yes,,,,,,,,,,,,
50-54,Man,college study without degree,Software Engineer,Medical/Pharmaceutical,50-249 employees,recently started,"80,000-89,999",20+ years,1-2 years,desktop,,2-5 times,Basic statistical software,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,,Yes
18-21,Man,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,,,,,,,,,,,
55-59,Man,Master's,Machine Learning Engineer,Computers/Technology,0-49 employees,recently started,"100,000-124,999",20+ years,1-2 years,desktop,MySQL ,Never,Basic statistical software,Yes,,Yes,,Yes,Yes,Yes,,,,,,Yes
50-54,Woman,Master's,Data Scientist,Computers/Technology,250-999 employees,well established,"150,000-199,999",20+ years,20 or more years,cloud computing platform,Snowflake ,Never,Local development environments,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,
22-24,Woman,Master's,Student,,,,,3-5 years,1-2 years,laptop,,Never,,Yes,,,Yes,,Yes,,,Yes,,,,
25-29,Man,Master's,Data Scientist,Computers/Technology,"1000-9,999 employees",well established,"150,000-199,999",5-10 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,
35-39,Man,Bachelor's,Data Scientist,Other,"10,000 or more employees",recently started,"100,000-124,999",3-5 years,3-4 years,laptop,MySQL ,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
35-39,Man,Master's,Data Scientist,Military/Security/Defense,"1000-9,999 employees",recently started,"80,000-89,999",5-10 years,1-2 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,
40-44,Man,Master's,Other,,,,,3-5 years,Under 1 year,laptop,,Never,,Yes,Yes,,,,,,Yes,,,,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,,,,,,,Yes,,,,
70+,Nonbinary,Bachelor's,Currently not employed,,,,,10-20 years,2-3 years,desktop,,Never,Other,Yes,,,,,,,,,,,,
30-34,Woman,Doctoral,Currently not employed,,,,,10-20 years,Under 1 year,laptop,,Once,Other,Yes,,,Yes,,,,Yes,Yes,,Yes,,
45-49,Man,Bachelor's,Data Engineer,Online Service/Internet-based Services,"10,000 or more employees",well established,"300,000-499,999",20+ years,1-2 years,laptop,Google Cloud BigQuery ,Never,Cloud-based data software & APIs,Yes,,Yes,,,,,,Yes,,,,
40-44,Man,Master's,Data Analyst,Energy/Mining,0-49 employees,do not use,"30,000-39,999",3-5 years,I do not use machine learning methods,cloud computing platform,,Never,Basic statistical software,,Yes,Yes,,,,,,,,,,
25-29,Woman,Master's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,,,,
50-54,Man,Bachelor's,Business Analyst,Accounting/Finance,"1000-9,999 employees",I do not know,"80,000-89,999",I have never written code,,,,,,,,,,,,,,,,,,
45-49,Man,Master's,Research Scientist,Insurance/Risk Assessment,0-49 employees,do not use,"150,000-199,999",20+ years,5-10 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,,Yes,
55-59,Man,Bachelor's,Currently not employed,,,,,5-10 years,4-5 years,laptop,,Never,Business intelligence software,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,
55-59,Woman,Bachelor's,Other,Other,0-49 employees,I do not know,0-999,10-20 years,Under 1 year,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,
50-54,Man,Bachelor's,DBA/Database Engineer,Academics/Education,"1000-9,999 employees",do not use,"125,000-149,999",20+ years,4-5 years,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,
25-29,Woman,Master's,Data Scientist,Computers/Technology,250-999 employees,well established,"100,000-124,999",5-10 years,5-10 years,laptop,Amazon Redshift ,2-5 times,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
40-44,Woman,Master's,Other,Government/Public Service,50-249 employees,do not use,"80,000-89,999",5-10 years,1-2 years,laptop,,Never,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
30-34,Woman,Bachelor's,Student,,,,,5-10 years,Under 1 year,desktop,,Never,Local development environments,,,,Yes,,,,,Yes,Yes,,,
35-39,Man,Bachelor's,Data Analyst,,,,,< 1 years,,laptop,,Never,,Yes,,Yes,,,,,,,,,,
35-39,Man,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"125,000-149,999",5-10 years,2-3 years,laptop,Microsoft SQL Server ,Never,Advanced statistical software,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,
40-44,Man,Doctoral,Other,Government/Public Service,50-249 employees,for insights only,"125,000-149,999",10-20 years,2-3 years,laptop,,Never,Advanced statistical software,Yes,Yes,,,,,,,Yes,Yes,,,
30-34,Man,Master's,Data Scientist,Broadcasting/Communications,"1000-9,999 employees",well established,"100,000-124,999",5-10 years,5-10 years,laptop,,Once,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
35-39,Man,Master's,Machine Learning Engineer,Energy/Mining,"1000-9,999 employees",well established,"250,000-299,999",5-10 years,5-10 years,cloud computing platform,Microsoft Azure SQL Database ,2-5 times,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
18-21,Man,college study without degree,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,,,,,,,,,,,,
30-34,Man,Doctoral,Research Scientist,Computers/Technology,250-999 employees,well established,"200,000-249,999",10-20 years,5-10 years,cloud computing platform,,Never,Local development environments,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,,
30-34,Nonbinary,Master's,Research Scientist,Other,"1000-9,999 employees",for insights only,"20,000-24,999",1-3 years,2-3 years,desktop,,Never,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes
35-39,Man,Master's,Data Analyst,Other,"1000-9,999 employees",exploring,"90,000-99,999",3-5 years,4-5 years,laptop,,Never,Business intelligence software,,Yes,Yes,,,,,,Yes,Yes,,Yes,
30-34,Woman,prefer not to answer,Currently not employed,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,,,,,,,,,,,,,,
45-49,Man,Bachelor's,Business Analyst,Manufacturing/Fabrication,"1000-9,999 employees",exploring,"100,000-124,999",20+ years,2-3 years,cloud computing platform,Microsoft SQL Server ,2-5 times,Other,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50-54,Man,Master's,Software Engineer,Computers/Technology,0-49 employees,,,1-3 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
35-39,Man,Master's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,Yes,Yes,,,,,Yes,,,
30-34,Man,Doctoral,Data Scientist,Other,0-49 employees,do not use,0-999,1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,,,,,,,Yes,,,,
35-39,Man,Master's,Data Engineer,Medical/Pharmaceutical,"1000-9,999 employees",do not use,"150,000-199,999",10-20 years,Under 1 year,cloud computing platform,Amazon Redshift ,Never,Local development environments,Yes,Yes,Yes,,Yes,,,,,,,,
30-34,Man,Doctoral,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"125,000-149,999",10-20 years,3-4 years,Other,,2-5 times,Other,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes
22-24,Woman,Bachelor's,Research Scientist,Academics/Education,"1000-9,999 employees",I do not know,"30,000-39,999",1-3 years,I do not use machine learning methods,laptop,,Once,Local development environments,,,,,,,,,,,,,
60-69,Man,Master's,Software Engineer,Computers/Technology,50-249 employees,exploring,"125,000-149,999",10-20 years,Under 1 year,desktop,,Never,,Yes,,,Yes,,,,,Yes,Yes,Yes,Yes,
25-29,Man,Master's,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",exploring,"90,000-99,999",3-5 years,Under 1 year,laptop,Microsoft SQL Server ,Never,Advanced statistical software,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
50-54,Man,Doctoral,Data Scientist,Other,"1000-9,999 employees",well established,"200,000-249,999",10-20 years,10-20 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,
